,max,mean,median,min,stdev,band
78,0.123011879622936,0.016028858613303,0.0,0.0,0.024452979736158,78
79,0.112883359193802,0.014844474902805,0.0,0.0,0.02279281217663,79
80,0.116083405911922,0.014948551088294,0.0,0.0,0.022842871465136,80
81,0.116874828934669,0.014203011447223,0.0,0.0,0.021834516731585,81
82,0.116080686450005,0.014485216136968,0.0,0.0,0.022143102259703,82
83,0.110213190317154,0.013217423190387,0.0,0.0,0.020321100479141,83
84,0.114921808242798,0.013610940263991,0.0,0.0,0.020872660461412,84
85,0.112633414566517,0.013000823511209,0.0,0.0,0.020028675174926,85
86,0.115079246461391,0.012921359448735,0.0,0.0,0.019861852609615,86
87,0.114498794078827,0.012708840160506,0.0,0.0,0.019667404763379,87
88,0.117804132401943,0.012681664868126,0.0,0.0,0.019570666207029,88
