band,wavelength,mean,stdev,stdev/mean,Unnamed: 5,Unnamed: 6,Unnamed: 7
198,833.815,0.397610982,0.11439194,0.287698141,,,
199,836.027,0.408440199,0.119685239,0.293030017,,,
200,838.239,0.423357202,0.121802131,0.287705348,,,
201,840.451,0.395765183,0.115786877,0.292564586,,,
202,842.663,0.414260024,0.119017591,0.287301656,,,
203,844.875,0.41572061,0.121501003,0.292266008,,,
204,847.087,0.406102823,0.116577094,0.287062999,,,
205,849.298,0.409213708,0.119127454,0.291113057,,,
206,851.51,0.423559933,0.121282543,0.286340924,,,
207,853.722,0.42733402,0.124206133,0.29065351,,,
208,855.934,0.421067634,0.120518594,0.286221463,,,
209,858.146,0.418306075,0.121660423,0.290840679,,,
210,860.358,0.423049808,0.121094364,0.286241389,,,
211,862.57,0.425672972,0.123475675,0.290071681,,,
212,864.781,0.414566737,0.118560517,0.285986564,,,
213,866.993,0.418475506,0.121466901,0.29026048,,,
214,869.205,0.420527618,0.120381679,0.286263431,,,
215,871.417,0.406186422,0.118105903,0.290767727,,,
216,873.629,0.410836594,0.117513709,0.286035155,,,
217,875.841,0.435672686,0.126248961,0.289779381,,,
218,878.053,0.416820704,0.118890643,0.285232095,,,
219,880.264,0.422623634,0.122201429,0.28914954,,,
220,882.476,0.425001265,0.121342035,0.285509821,,,
221,884.688,0.397521031,0.115085981,0.289509163,,,
222,886.9,0.409924082,0.117000349,0.285419554,,,
223,889.112,0.424186306,0.122883463,0.289692197,,,
224,891.324,0.412945325,0.118096355,0.285985452,,,
225,893.536,0.414761798,0.120175792,0.289746531,,,
226,895.747,0.417158694,0.119231825,0.285818867,,,
227,897.959,0.418959974,0.121452758,0.289891076,,,
228,900.171,0.430524686,0.123252189,0.286283675,,,
229,902.383,0.410329466,0.119131038,0.290330205,,,
230,904.595,0.393420608,0.112020476,0.284734641,,,
231,906.807,0.422037073,0.122241183,0.289645604,,,
232,909.019,0.408349975,0.116093053,0.284297932,,,
233,911.23,0.415941647,0.120240202,0.289079497,,,
234,913.442,0.424430516,0.120474176,0.283848997,,,
235,915.654,0.431335017,0.124731991,0.289176594,,,
236,917.866,0.399747056,0.113099612,0.282927942,,,
237,920.078,0.392576113,0.113735432,0.289715621,,,
238,922.29,0.400020948,0.113173804,0.282919692,,,
239,924.502,0.425248617,0.122867221,0.288930326,,,
240,926.713,0.41740442,0.118141458,0.283038348,,,
241,928.925,0.387594314,0.111504799,0.287684301,,,
242,931.137,0.434795988,0.124394683,0.286098966,,,
243,933.349,0.423672068,0.12136399,0.286457378,,,
244,935.561,0.406276692,0.120140961,0.295712167,,,
245,937.773,0.390959878,0.117416198,0.300327999,,,
246,939.985,0.40128754,0.119952845,0.298919934,,,
247,942.196,0.407370778,0.12142462,0.298069047,,,
248,944.408,0.415030429,0.121218305,0.292070886,,,
249,946.62,0.397997135,0.116327007,0.292281016,,,
250,948.832,0.385085968,0.114387685,0.297044543,,,
251,951.044,0.394207214,0.118794585,0.301350611,,,
252,953.256,0.446460484,0.133898561,0.299911336,,,
253,955.468,0.407998344,0.122788819,0.300954208,,,
254,957.679,0.371438119,0.111066351,0.299017104,,,
255,959.891,0.363172814,0.10810763,0.297675446,,,
256,962.103,0.435035446,0.130010123,0.298849495,,,
257,964.315,0.388408913,0.116147428,0.29903389,,,
258,966.527,0.331493546,0.097986975,0.295592407,,,
259,968.739,0.378975828,0.113061069,0.298333193,,,
