band,wavelength,mean,stdev,stdev/mean,Unnamed: 5,Unnamed: 6,Unnamed: 7
220,882.476,0.241536316,0.047539807,0.196822605,,,
221,884.688,0.225101308,0.044511556,0.197740103,,,
222,886.9,0.233054971,0.045802538,0.196531048,,,
223,889.112,0.240244905,0.047638384,0.198290923,,,
224,891.324,0.234864601,0.046388499,0.197511666,,,
225,893.536,0.234920593,0.046688211,0.198740395,,,
226,895.747,0.236677274,0.046880465,0.198077594,,,
227,897.959,0.23579122,0.046936452,0.199059373,,,
228,900.171,0.243504793,0.04887559,0.200717158,,,
229,902.383,0.233075632,0.04704899,0.201861473,,,
230,904.595,0.226065274,0.045395369,0.200806466,,,
231,906.807,0.240412344,0.048679683,0.202484124,,,
232,909.019,0.232478039,0.047064925,0.202448908,,,
233,911.23,0.235710861,0.047736997,0.202523537,,,
234,913.442,0.243123913,0.0495891,0.203966362,,,
235,915.654,0.24570129,0.050184188,0.204248777,,,
236,917.866,0.22976866,0.046846728,0.203886502,,,
237,920.078,0.224838395,0.046196559,0.205465616,,,
238,922.29,0.23119815,0.047241465,0.204333233,,,
239,924.502,0.242967748,0.049691081,0.20451719,,,
240,926.713,0.24055478,0.04911424,0.204170707,,,
241,928.925,0.220421768,0.044594554,0.202314655,,,
242,931.137,0.245486079,0.051912669,0.21146889,,,
243,933.349,0.23732891,0.051066619,0.215172348,,,
244,935.561,0.226182858,0.055020393,0.243256246,,,
245,937.773,0.225693624,0.055848221,0.247451478,,,
246,939.985,0.237238657,0.060184183,0.253686242,,,
247,942.196,0.23808296,0.057175255,0.240148456,,,
248,944.408,0.239173282,0.056907843,0.237935619,,,
249,946.62,0.231457831,0.052320574,0.226047976,,,
250,948.832,0.223840521,0.054914755,0.245329819,,,
251,951.044,0.231688435,0.055729962,0.240538384,,,
252,953.256,0.259954231,0.066018438,0.253961776,,,
253,955.468,0.24031249,0.058556231,0.243667031,,,
254,957.679,0.218507319,0.054916269,0.251324619,,,
255,959.891,0.215539221,0.05216392,0.242015905,,,
256,962.103,0.259735663,0.064674802,0.249002394,,,
257,964.315,0.232427357,0.056474857,0.242978526,,,
258,966.527,0.198483592,0.048939642,0.246567696,,,
259,968.739,0.228426879,0.054387317,0.238095084,,,
260,970.951,0.232580254,0.055159163,0.237161849,,,
261,973.162,0.228683549,0.051570405,0.225509902,,,
262,975.374,0.258721143,0.060697657,0.23460648,,,
263,977.586,0.217941044,0.050955946,0.233806103,,,
264,979.798,0.240244042,0.05706597,0.237533343,,,
265,982.01,0.267721648,0.061716519,0.230524947,,,
266,984.222,0.234442804,0.056795674,0.242258124,,,
267,986.434,0.244913279,0.056296868,0.229864496,,,
268,988.645,0.207584397,0.049690232,0.239373635,,,
269,990.857,0.218091644,0.050602626,0.2320246,,,
270,993.069,0.218452962,0.051595359,0.23618521,,,
271,995.281,0.24048346,0.055496396,0.230770116,,,
272,997.493,0.246706634,0.05932101,0.240451623,,,
273,999.705,0.247984762,0.056582635,0.228169806,,,
274,1001.92,0.247351975,0.060822902,0.245896167,,,
