band,wavelength,mean,stdev,stdev/mean
159,747.553,0.027907155,0.064055284,2.295299714
160,749.765,0.027721846,0.06356439,2.292934942
161,751.977,0.028369039,0.065090354,2.294415206
162,754.189,0.028895559,0.066224726,2.291865229
163,756.4,0.028965159,0.066436683,2.293675779
164,758.612,0.030867849,0.070736569,2.291593735
165,760.824,0.030722281,0.070447512,2.29304306
166,763.036,0.030620894,0.070168389,2.291519926
167,765.248,0.029286682,0.067181295,2.293919653
168,767.46,0.028262506,0.064821963,2.293567448
169,769.672,0.028373977,0.065097546,2.294269374
170,771.883,0.03014229,0.069081913,2.291860106
171,774.095,0.029923628,0.068597994,2.292435753
172,776.307,0.030529896,0.069934634,2.290693502
173,778.519,0.029848543,0.068413288,2.29201435
174,780.731,0.031035687,0.071111717,2.29128865
175,782.943,0.029869113,0.068443388,2.291443584
176,785.155,0.030666884,0.070235901,2.290284883
177,787.366,0.031076596,0.071255303,2.292892764
178,789.578,0.030759387,0.070460834,2.290709946
179,791.79,0.030913342,0.07086272,2.292302175
180,794.002,0.03073332,0.070394376,2.29049047
181,796.214,0.030440525,0.069759499,2.291665419
182,798.426,0.030896926,0.070761179,2.29023363
183,800.638,0.029998543,0.068746225,2.291652101
184,802.849,0.030439315,0.069647708,2.288083981
185,805.061,0.030643936,0.07023539,2.291983297
186,807.273,0.031474675,0.072098631,2.290687115
187,809.485,0.030578804,0.070094059,2.29224332
188,811.697,0.031323123,0.071736944,2.290223234
189,813.909,0.030582157,0.07009912,2.292157458
190,816.121,0.031060591,0.071152876,2.290776657
191,818.332,0.031286218,0.071748876,2.293306104
192,820.544,0.031813576,0.07292517,2.292265767
193,822.756,0.029292976,0.067194849,2.293889455
194,824.968,0.032122468,0.073576167,2.290489198
195,827.18,0.0309021,0.070883587,2.293811345
196,829.392,0.031020722,0.071077497,2.291290836
197,831.604,0.03113901,0.071409637,2.293253269
198,833.815,0.030603703,0.070154427,2.292350899
199,836.027,0.031068584,0.071260573,2.293653743
200,838.239,0.032655796,0.074843904,2.291902572
201,840.451,0.030228382,0.069337352,2.293783074
202,842.663,0.032121895,0.07357338,2.290443354
203,844.875,0.031867585,0.073097078,2.293775266
204,847.087,0.031449998,0.072036235,2.290500465
205,849.298,0.031392056,0.072022595,2.294293638
206,851.51,0.03288887,0.075344854,2.290892131
207,853.722,0.032885403,0.075413574,2.293223357
208,855.934,0.032847055,0.075346919,2.293871377
209,858.146,0.032175788,0.073819118,2.294244294
210,860.358,0.032861935,0.075322495,2.292089463
211,862.57,0.032811506,0.07527591,2.294192427
212,864.781,0.032256126,0.07392903,2.291937689
213,866.993,0.032360259,0.074236115,2.294051969
214,869.205,0.032908054,0.075460599,2.293073891
215,871.417,0.03127391,0.071757621,2.29448833
216,873.629,0.032098036,0.073615925,2.293471272
217,875.841,0.03372268,0.077417382,2.295706686
218,878.053,0.032521859,0.074506646,2.290971318
219,880.264,0.032611684,0.074830771,2.294600026
220,882.476,0.033129745,0.075953597,2.29261039
221,884.688,0.030621093,0.070280811,2.295176451
222,886.9,0.032005067,0.073391269,2.293114055
223,889.112,0.032608889,0.074879167,2.296280822
224,891.324,0.032260915,0.073993108,2.293583637
225,893.536,0.032001022,0.073467579,2.295788565
226,895.747,0.032799586,0.075255396,2.294400836
227,897.959,0.032294104,0.074142163,2.295842086
228,900.171,0.033726631,0.077430441,2.295824968
229,902.383,0.031468125,0.072478,2.303219519
230,904.595,0.030770751,0.070721485,2.298334731
231,906.807,0.032627135,0.074948526,2.297122501
232,909.019,0.032412949,0.074375941,2.29463666
233,911.23,0.032211393,0.074098323,2.300376259
234,913.442,0.033372372,0.0767592,2.300082283
235,915.654,0.033482662,0.077038125,2.300836333
236,917.866,0.03170197,0.072920059,2.300174371
237,920.078,0.030167825,0.069525815,2.304634671
238,922.29,0.031434457,0.072292711,2.299791919
239,924.502,0.033255841,0.076534606,2.301388384
240,926.713,0.033264359,0.076532944,2.300749095
241,928.925,0.030295892,0.069803441,2.304056316
242,931.137,0.034421564,0.079381934,2.30616873
243,933.349,0.033494024,0.077268512,2.306934264
244,935.561,0.031143056,0.072644009,2.332590896
245,937.773,0.02952399,0.069443768,2.352113265
246,939.985,0.030655177,0.071931357,2.346466835
247,942.196,0.031098754,0.072483247,2.330744423
248,944.408,0.032196587,0.074992637,2.329210802
249,946.62,0.031012071,0.072294876,2.331185028
250,948.832,0.029973193,0.069966816,2.334313087
251,951.044,0.030828144,0.072260453,2.34397674
252,953.256,0.034933968,0.082017818,2.347795679
253,955.468,0.031795883,0.074275192,2.336000275
254,957.679,0.028884575,0.067754843,2.345710217
255,959.891,0.028696353,0.067292828,2.344995851
256,962.103,0.034366482,0.080592645,2.345094399
257,964.315,0.029940451,0.070594425,2.357827725
258,966.527,0.026094222,0.061165086,2.34400879
259,968.739,0.029968836,0.069804661,2.329241639
260,970.951,0.030929475,0.072067767,2.330067597
261,973.162,0.030482245,0.071055773,2.331054439
262,975.374,0.034733428,0.08105372,2.333594001
263,977.586,0.029035788,0.067936715,2.339757934
264,979.798,0.032207343,0.075047187,2.330126592
265,982.01,0.035061071,0.081784356,2.332625747
266,984.222,0.031512236,0.073603535,2.335712856
267,986.434,0.032013716,0.075127192,2.34671892
268,988.645,0.027308257,0.064084352,2.346702368
269,990.857,0.028384729,0.06667926,2.349124449
270,993.069,0.029467423,0.068732199,2.3324808
271,995.281,0.032170826,0.075126336,2.335231779
272,997.493,0.032682745,0.076188288,2.331147176
273,999.705,0.032697465,0.076527827,2.340481931
274,1001.92,0.033316657,0.077834612,2.336207138
